Stadt,Anzahl_Firmen,lat,lon
später Schwelm,2,0,0
Apolda,14,0,0
Wien,13,0,0
Lengerich,2,0,0
Gstaad (Schweiz),2,0,0
Iserlohn,9,0,0
Laichingen,2,0,0
Wittenberge,10,0,0
Frankreich),97,0,0
Bad Doberan,5,0,0
Hamburg-Wandsbek,2,0,0
Bodenbach,6,0,0
Oxford (Großbritannien),4,0,0
Jugoslawien),8,0,0
Erlangen,12,0,0
Bad Oeynhausen,5,0,0
Freiwaldau,4,0,0
Neuwied,11,0,0
Oberehnheim,2,0,0
Münsterberg,3,0,0
Oerlinghausen,2,0,0
Greifenberg,3,0,0
Wiener Neustadt,2,47.81598187,16.24995357
Traunstein,4,0,0
Tel Aviv (Israel),26,0,0
später Berlin,36,0,0
Milano (Italien),2,0,0
Danzig,38,0,0
Betzdorf,4,0,0
Bocholt,7,0,0
Moers,6,0,0
Braunau,3,0,0
Ukraine),29,0,0
Erfurt,74,50.97005292,11.02996212
Neumarkt,4,0,0
Strassburg,8,0,0
Lundenburg (Hodonin),2,0,0
Dessau,30,0,0
Meissen,12,0,0
Geringswalde,4,0,0
Katowice,2,50.26038047,19.02001705
Bad Kreuznach,11,0,0
Liegnitz,9,0,0
Lübben,5,0,0
Sankt Annaberg,3,0,0
Bitterfeld,12,0,0
später Stuttgart,16,0,0
Simmern,3,0,0
Emmishofen (Schweiz),2,0,0
später Wunsiedel,2,0,0
Lage,6,0,0
Aabenraa (Dänemark),2,0,0
Uden (Niederlande),3,0,0
Detmold,11,0,0
Rotterdam (Niederlande),29,0,0
Weinheim,5,0,0
St. Andreasberg,2,0,0
M. Gladbach,7,0,0
Saalfeld,4,0,0
später Oberstdorf,2,0,0
Krummhübel,3,0,0
Altenburg,27,0,0
später Bad Godesberg,6,0,0
Schelldorf,2,0,0
Braunlage,2,0,0
Riga (Lettland),69,0,0
Dülken,4,0,0
später Berlin und Stuttgart,2,0,0
Zweigniederlassung Leipzig,3,0,0
Biberach,4,0,0
Dettenhausen,2,0,0
Bremervörde,4,0,0
Sortimentsbuchhandlung Burgdorf,2,0,0
später Oberursel,2,0,0
Hildesheim,21,0,0
Weimar,50,0,0
Neidenburg,4,0,0
Szatmár-Németi (Ungarn),2,0,0
Breyell,2,0,0
Sonneberg,8,0,0
Nienburg,3,0,0
Rinteln,6,0,0
Kleve,4,0,0
Langnau (Schweiz),2,0,0
Boston (U.S.A.),2,0,0
Brüssel (Belgien),72,0,0
London,3,42.9699986,-81.24998661
New York,4,40.74997906,-73.98001693
Santiago de Chile (Chile),20,0,0
Arnstadt,13,0,0
Cambridge (Großbritannien),3,0,0
Norden,5,0,0
Leipzig und Berlin,7,0,0
Elmshorn,4,0,0
Prag,2,0,0
Gnadau,2,0,0
Lima (Peru),9,0,0
Schriesheim,2,0,0
Schönebeck,5,0,0
Dramburg,3,0,0
später Langenholtensen,2,0,0
Svendborg (Dänemark),2,0,0
Jassy (Rumänien),4,0,0
Frankfurt (Oder),12,0,0
Blumenthal,3,0,0
später Hemer,2,0,0
Eschwege,7,0,0
Pirmasens,9,0,0
Tuttlingen,6,0,0
Wanfried (Werra),2,0,0
Schwerte,2,0,0
Greiz,15,0,0
Hamm,8,0,0
Höhr-Grenzhausen,3,0,0
Brühl,2,0,0
später Sülzfeld,2,0,0
Innsbruck (Österreich),29,0,0
Chicago und New York,2,0,0
Giengen,3,0,0
Dillingen,3,0,0
Künzelsau,2,0,0
Eisleben,7,0,0
Neurode,4,0,0
Reykjavik (Island),3,0,0
Leiden (Niederlande),24,0,0
Winterberg,3,0,0
Ludwigslust,3,0,0
später Lörrach,2,0,0
Baden-Baden,11,0,0
später Öhringen,2,0,0
Bochum,25,0,0
Itzehoe,5,0,0
Altona-Blankenese,3,0,0
Hengelo (Niederlande),2,0,0
Bad Bentheim,2,0,0
später Babelsberg,3,0,0
Worms,8,0,0
